,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,pamanukan,-6.2842,107.8106,77.86,89,99,3.71,ID,1617062380
1,tuktoyaktuk,69.4541,-133.0374,-7.6,77,20,17.27,CA,1617062149
2,hobart,-42.8794,147.3294,61.0,58,0,12.66,AU,1617061791
3,knysna,-34.0363,23.0471,57.2,94,0,3.44,ZA,1617062380
4,bluff,-46.6,168.3333,60.01,88,100,1.01,NZ,1617061995
5,port elizabeth,-33.918,25.5701,66.2,88,20,12.66,ZA,1617062000
6,punta arenas,-53.15,-70.9167,48.2,93,75,3.44,CL,1617061996
7,vao,-22.6667,167.4833,79.0,66,100,8.08,NC,1617062381
8,kahului,20.8947,-156.47,80.6,61,40,8.05,US,1617062381
9,nesbyen,60.5681,9.1027,35.02,89,35,5.19,NO,1617062381
10,gamay,12.3854,125.2979,80.38,83,100,7.94,PH,1617062382
11,severo-kurilsk,50.6789,156.125,36.0,96,100,21.09,RU,1617062382
12,albany,42.6001,-73.9662,41.0,31,2,9.53,US,1617061983
13,rikitea,-23.1203,-134.9692,78.82,70,8,15.32,PF,1617061990
14,ak-dovurak,51.1833,90.6,28.22,60,7,3.49,RU,1617062382
15,lompoc,34.6391,-120.4579,60.8,63,0,19.57,US,1617062069
16,longyearbyen,78.2186,15.6401,24.8,74,40,23.02,SJ,1617062382
17,mataura,-46.1927,168.8643,60.01,88,98,1.01,NZ,1617061992
18,ushuaia,-54.8,-68.3,50.0,76,20,4.61,AR,1617061987
19,cockburn town,21.4612,-71.1419,77.52,82,0,22.26,TC,1617062383
20,barbacena,-21.2258,-43.7736,69.8,78,20,1.07,BR,1617062383
21,harper,4.375,-7.7169,78.46,87,20,3.53,LR,1617062212
22,mahebourg,-20.4081,57.7,73.4,94,20,5.75,MU,1617062384
23,rogozno,52.7523,16.9905,51.8,76,0,3.44,PL,1617062384
24,bonfim,3.0833,-59.95,81.19,67,97,10.69,BR,1617062385
25,sao filipe,14.8961,-24.4956,69.37,73,73,12.39,CV,1617062136
26,khani,41.9563,42.9566,39.2,75,0,5.75,GE,1617062385
27,aranos,-24.1333,19.1167,71.33,55,99,10.58,NA,1617062385
28,qaanaaq,77.484,-69.3632,-14.94,62,48,7.87,GL,1617062000
29,saskylakh,71.9167,114.0833,-17.55,98,99,6.53,RU,1617062386
30,lavrentiya,65.5833,-171.0,14.85,84,100,12.37,RU,1617062177
31,klaksvik,62.2266,-6.589,37.4,81,75,4.52,FO,1617062091
32,busselton,-33.65,115.3333,66.99,96,12,6.15,AU,1617061996
33,saint-francois,46.4154,3.9054,46.0,76,0,2.3,FR,1617062265
34,san cristobal,7.7669,-72.225,80.6,74,40,4.61,VE,1617062386
35,coquimbo,-29.9533,-71.3436,59.0,82,20,9.22,CL,1617062387
36,castro,-24.7911,-50.0119,62.24,94,53,4.27,BR,1617062387
37,ribeira grande,38.5167,-28.7,58.8,80,100,6.04,PT,1617061991
38,tabon,9.2388,117.9946,81.23,78,62,2.3,PH,1617062387
39,saint george,37.1041,-113.5841,78.01,8,1,16.11,US,1617062251
40,grindavik,63.8424,-22.4338,28.4,69,0,18.41,IS,1617062388
41,hilo,19.7297,-155.09,78.8,69,40,11.5,US,1617062063
42,east london,-33.0153,27.9116,68.72,89,98,16.73,ZA,1617062076
43,havoysund,70.9963,24.6622,35.6,75,90,3.44,NO,1617062388
44,ballina,-28.8667,153.5667,70.0,94,75,12.66,AU,1617062328
45,kodiak,57.79,-152.4072,46.4,61,75,11.5,US,1617062389
