,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,albany,42.6001,-73.9662,48.0,77,100,3.0,US,1616806416
1,mataura,-46.1927,168.8643,64.99,70,100,5.99,NZ,1616806699
2,chuy,-33.6971,-53.4616,68.76,94,100,3.0,UY,1616806627
3,saryg-sep,51.5,95.6,16.68,85,14,2.24,RU,1616806699
4,lodja,-3.4833,23.4333,65.48,98,100,1.66,CD,1616806654
5,cockburn town,21.4612,-71.1419,77.0,73,40,13.8,TC,1616806700
6,busselton,-33.65,115.3333,64.0,76,66,1.01,AU,1616806700
7,airai,-8.9266,125.4092,71.13,68,99,2.06,TL,1616806701
8,sanford,28.8006,-81.2731,82.0,69,1,11.5,US,1616806701
9,esperance,-33.8667,121.9,62.6,72,0,17.27,AU,1616806702
10,hilo,19.7297,-155.09,80.6,54,75,11.5,US,1616806702
11,punta arenas,-53.15,-70.9167,48.2,71,75,8.05,CL,1616806702
12,kavieng,-2.5744,150.7967,83.5,74,82,12.59,PG,1616806628
13,cherskiy,68.75,161.3,-3.24,87,93,10.11,RU,1616806643
14,ushuaia,-54.8,-68.3,48.2,66,75,5.64,AR,1616806564
15,richards bay,-28.783,32.0377,67.08,90,91,4.38,ZA,1616806693
16,mackay,-21.15,149.2,84.2,70,0,8.05,AU,1616806703
17,bluff,-46.6,168.3333,64.99,70,100,5.99,NZ,1616806658
18,hasaki,35.7333,140.8333,60.01,54,75,5.75,JP,1616806704
19,rikitea,-23.1203,-134.9692,78.73,73,14,18.19,PF,1616806704
20,luban,51.1201,15.2877,48.99,67,98,3.0,PL,1616806704
21,atherton,53.5237,-2.4935,41.0,61,71,8.01,GB,1616806705
22,bure,10.7,37.0667,62.06,25,100,2.21,ET,1616806705
23,cidreira,-30.1811,-50.2056,68.52,93,100,5.82,BR,1616806513
24,vardo,70.3705,31.1107,33.49,84,95,24.67,NO,1616806706
25,namuac,18.6109,121.1657,81.19,72,10,10.38,PH,1616806706
26,kapaa,22.0752,-159.319,80.01,78,75,9.22,US,1616806609
27,vostok,46.4856,135.8833,33.57,88,100,3.62,RU,1616806706
29,fort nelson,58.8053,-122.7002,39.2,52,75,5.75,CA,1616806707
30,saint-philippe,-21.3585,55.7679,77.0,73,11,5.75,RE,1616806613
31,butaritari,3.0707,172.7902,81.68,76,13,11.7,KI,1616806707
32,atuona,-9.8,-139.0333,80.8,76,38,18.3,PF,1616806614
33,ancud,-41.8697,-73.8203,54.0,82,0,4.61,CL,1616806708
34,sao joao da barra,-21.6403,-41.0511,76.44,86,7,8.37,BR,1616806708
35,hobart,-42.8794,147.3294,61.0,67,75,9.22,AU,1616806709
36,chokurdakh,70.6333,147.9167,-13.14,94,57,6.04,RU,1616806709
37,bethel,41.3712,-73.414,68.0,37,75,19.57,US,1616806707
38,leningradskiy,69.3833,178.4167,-11.45,91,36,5.17,RU,1616806709
39,karasburg,-28.0167,18.75,54.9,76,0,9.86,NA,1616806710
